data,type
Short dark hair woman with a black phone is on the phone on the sidewalk.,sentence
A woman in a floral print blouse talks on her cellphone on the sidewalk.,sentence
A woman is standing outside of a building talking on her cellphone.,sentence
Two adults on cellphones downtown.,sentence
A street in an Asian country where there are 5 people gathered around a table.,sentence
Several people are huddled around a table in an Asian country.,sentence
Four women are outside of a Chinese store.,sentence
A Chinese store in a shopping plaza.,sentence
The students sitting on the grass are eating a lunch from a red backpack.,sentence
Young people sit on the grass near a crooked tree with pink blossoms.,sentence
People outside sitting on the grass under cherry blossom trees.,sentence
People are sitting at a park under flowering trees.,sentence
A half naked man pushes against the trunk of a fig tree.,sentence
A groups of males dressed in soccer uniforms are standing in a line on a field.,sentence
Soccer players are shaking each others hands on the soccer field.,sentence
"A line of players at a soccer game, wearing red and white.",sentence
A soccer game underway with a kid on the field.,sentence
Two people are sitting on the grass with the water just below them along with a waterfall.,sentence
Man and woman sitting and talking near a small waterfall.,sentence
Couple sitting in park near a small waterfall.,sentence
A couple sitting by a small waterfall.,sentence
Adolescents are sitting on the floor with strings stretched across the room.,sentence
Kids sitting on the floor against the wall with rope all over the floor.,sentence
A group of 8 teenager sitting along a wall holding a string.,sentence
People sitting on a rug around ropes.,sentence
A group of hikers are climbing up a snowy mountain.,sentence
A group of people are hiking up an icy hillside.,sentence
Five people in full gear are mountain climbing.,sentence
A group of people are climbing in cold weather.,sentence
Brown-skinned girl pretends to do her homework while someone takes a picture for social services.,sentence
Girl giving a man a biscuit.,sentence
An Afican American woman standing behind two small African American children.,sentence
An African woman stands with her two children under a boulder.,sentence
A woman and two children pose for a picture under some rocks.,sentence
A woman in purple with two children in the mouth of a cave.,sentence
"Three women on a stage, one wearing red shoes, black pants, and a gray shirt is sitting on a prop, another is sitting on the floor, and the third wearing a black shirt and pants is standing, as a gentleman in the back tunes an instrument.",sentence
A group of musicians surround a singer wearing all black.,sentence
Three people watch a woman dressed in all black act.,sentence
Four people in a performing arts class on stage.,sentence
Children eating at a outdoor cafe & someone doesn't like the menu.,sentence
The mother in green is looking at her son while he is crying.,sentence
A blond-hair lady sitting with a kid.,sentence
Small blond boy throwing a fit.,sentence
A group of people standing on the lawn in front of a building.,sentence
An older man wearing a bowler hat and white gloves is playing a tuba with fire blowing out of the top while sitting on a box amplifier in front of a cement wall.,sentence
A man in black and white garb and wearing a black hat and white gloves is sitting on an amp playing a tuba with flames coming out of the opening.,sentence
A fancily dressed elderly man plays a baritone as it is set aflame.,sentence
A man using a flaming tuba.,sentence
Four construction workers stand on a beach-side road in the process of being rebuilt; none of them are working.,sentence
"Four construction workers are smiling, with two talking to each other as the others stare at the camera.",sentence
"Four male construction workers, three of which have yellow shirts on, are standing together.",sentence
Four construction workers pose for a picture near water.,sentence
A man in Ray-Ban sunglasses and a black v-neck holds a stringed instrument.,sentence
A man wearing a black t-shirt and sunglasses holds the neck of a bass.,sentence
A bald man wearing glasses and a black shirt holing an instrument.,sentence
A man in dark glasses holds a cello.,sentence
A boy in a red hooded-coat is riding a pool broom like a horse in an empty pool.,sentence
The child in raingear is dragging a broom through a puddle.,sentence
A little kid in a red jacket riding a broom like a horse.,sentence
Boy in raincoat straddle stick outside.,sentence
"Two men, one holding a white cup and the other holding a phone, stand inside a room during the daytime.",sentence
Two elderly men standing in front of a projector pull-down screen.,sentence
Two men in a classroom in front of a white screen.,sentence
Two older men in gray jackets.,sentence
Some people are on a snow-covered mountain holding ski poles and wearing backpacks.,sentence
Two women standing in the snow talking and observing the surroundings,sentence
Two women are standing with ski poles in deep snow.,sentence
Two girls in blue are skiing.,sentence
An Asian man in an orange jacket carries a high stack of boxes.,sentence
A man in an orange jacket and blue pants carrying many boxes.,sentence
A man in an orange sweater carrying a large amount of boxes.,sentence
Man carrying too many boxes.,sentence
The adults and children are gathered near an outdoor seating arrangement.,sentence
Adults and children stand and play in front of steps near a wooded area.,sentence
A family stands in a paved courtyard in an park in fall.,sentence
The girl with the red bike is wearing red pants.,sentence
The white puppies are playing on a couch with a baby bottle.,sentence
Three puppies are lying on a couch beside a baby bottle.,sentence
Three puppies on a couch next to a bottle of milk.,sentence
Three puppies play on a couch.,sentence
"An older couple walks a narrow, crowded street under orange sodium vapor lamps at night.",sentence
A man and a woman in a crowd of people on a street at night.,sentence
An older couple is walking down the street.,sentence
People walking along on a street at night.,sentence
1 woman in a black jacket is drinking out of a bottle while others are smiling.,sentence
Several young adults drinking alcoholic beverages at a party.,sentence
A group of people enjoys their company with liquor.,sentence
Young people are in the kitchen laughing.,sentence
"In China, a man gets out of a port-a-potty while another man waits.",sentence
A man walking out of a portable bathroom.,sentence
Two men use porta johns in the far east.,sentence
A man steps out of a blue porta potty.,sentence
A little boy is flying a kite high up in the air.,sentence
A boy flying a red and white kite.,sentence
Boy flying a distant kite.,sentence
A child flying a kite.,sentence
A group dressed in wintery attire of people on a sidewalk in Washington D.C.,sentence
A crowd of people views newspaper covers in Washington D.C.,sentence
A crowd of people in front of a memorial in Washington DC.,sentence
Lots of people gathering in a line.,sentence
There is a little girl with brown curly hair who is in a bathing suit staring at the water.,sentence
Children running towards a very big tree.,sentence
A crouching white man in a yellow shirt looks down from on top of a wooden structure.,sentence
A man in a yellow shirt is putting a new roof on a building.,sentence
A man on top of the roof looks over the ledge.,sentence
A man hammers plywood on a roof.,sentence
A soccer team wearing white shirts and maroon shorts stand in a line.,sentence
Soccer players are shaking each others hands on the soccer field.,sentence
An infant screams from the backseat of a cab.,sentence
Three people in a small boat next to a wooden dock where two other people are standing.,sentence
Several people sitting in a boat and standing on a dock on a body of water in the forest,sentence
Two men standing on a dock next to three people in a canoe.,sentence
People standing and sitting at a dock.,sentence
Asian Girl in red hoodie sitting at table eating with friends.,sentence
Two oriental people are seated a table at a restaurant.,sentence
A girl is eating with her friends at a restaurant.,sentence
A girl wearing brown jacket smiles.,sentence
The three girls are jumping and dancing on the colorful lawn.,sentence
Three females are jumping while reaching up into the air.,sentence
Three girls jumping in front of a house's flower garden.,sentence
Three girls jumping on a lawn.,sentence
"Three people, two seated on a large rolled up piece of artifcial turf and a female standing talking to one of the seated men.",sentence
A group of people sit on a bench outside that looks like a tree trunk.,sentence
A man is laying back while a man and woman look in his direction.,sentence
A couple watching a man sleep on a piece of art.,sentence
Two black-robed young men stand on the steps in front of a building.,sentence
The two church officials wear black robes and purple hats.,sentence
Two Orthodox priests stand on the steps outside a church.,sentence
Two priests stand on some stairs in front of a building.,sentence
"Four construction workers, wearing neon vests, stand at a construction site along with some equipment.",sentence
Construction workers are standing around the back of a dump truck.,sentence
Men standing around a cement truck on a construction site.,sentence
Four construction workers standing by a concrete machine.,sentence
A person wearing a green and white shirt with a white hood is sitting outside on the steps of a large building while another person is lying down a few steps higher.,sentence
"Two men in hoodies loiter on the steps of an imposing looking public building next to a statue of a man and a lion,.",sentence
Guy in a green shirt sitting on stairs in front of a statue of a lion and a man.,sentence
Many people taking pictures of the mountains in front of a no truck sign,sentence
Cancer survivors race for a cure.,sentence
A woman wearing glasses and a brown beanie next to a girl with long brown hair holding a book.,sentence
Two women in black jackets reading a magazine and smiling.,sentence
Two travelers on a train or bus reading a book together.,sentence
Two dogs are shaking themselves dry on the path next to the water.,sentence
Two dogs are shaking water off.,sentence
"A shirtless man, wearing a brown kilt and backpack, gives a thumbs up on a city sidewalk.",sentence
A man wearing glasses and a kilt is wearing a backpack and giving the thumbs up.,sentence
A man with tattoos carrying a skateboard gives thumbs up on the sidewalk.,sentence
"Man with lots of tattoos and no shirt, wearing a skirt.",sentence
A man with a mustache wearing a black and red plaid shirt plays guitar.,sentence
The gentleman wearing a black bandanna is playing a five-string bass.,sentence
Man in business attire speaks into a microphone.,sentence
"A boy in a red plaid button-up shirt playing a guitar, with another boy playing an orange bass behind him, and another person playing a drum set.",sentence
A group of young adults come together to perform song complete with drums and a guitar.,sentence
"Three young men playing musical instruments, one has a guitar and one is on drums.",sentence
Young men perform in a band indoors.,sentence
Black man in a nice suite that matches the rest of the choir he's singing with near a piano.,sentence
A lead choir singer with the rest of the choir singing in the background of a concert hall.,sentence
A man with a red bowtie singing a solo with a full men's choir in the background.,sentence
"An all male choir and soloist are performing, with a piano nearby.",sentence
Three men in white shirts dance and sing on a stage as a group of women watch from the sidelines.,sentence
Three adult men in a row with their arms around each other and seem to be singing.,sentence
Friends having fun out for the night.,sentence
Three men are walking and singing.,sentence
A large Asian family gathers while seated on the floor to interact with a board apparatus.,sentence
A family of all ages sitting on the floor playing a board game.,sentence
A group of people are sitting in a circle enjoying themselves.,sentence
A group of people playing a board game.,sentence
"Five musicians, a man and four women, practicing sheet music (using flutes ) in a living room.",sentence
"People gathered in a circle, some holding musical instruments.",sentence
People gathered in a room to talk about their favorite tunes.,sentence
Five people are sitting in a circle with instruments.,sentence
Musician dressed in all black smiles for the camera.,sentence
Two men in tan coats exchange looks on the city sidewalk.,sentence
Two senor citizens talking on a public street.,sentence
Two men in brown coats on the street.,sentence
"Two men in beige coats, talking.",sentence
A woman and man lounge on a cliff surrounded beach with ruins in the background.,sentence
People are on the beach sunbathing near rocky cliffs.,sentence
A woman on a lounge chair is lying on the beach.,sentence
Several people laying down on the beach.,sentence
Four men with baseball caps and logo t-shirts laughing together at a table.,sentence
Four men in white shirts and baseball caps sitting around a table.,sentence
"Four men in white T-shirts, blue jeans, and hats talking.",sentence
A group of friends talk around a table.,sentence
A man with a cowboy hat is riding a horse that is jumping.,sentence
A cowboy riding on his horse that is jumping in the air.,sentence
A cowboy balances on his horse in a rodeo.,sentence
Man wearing a cowboy hat riding a horse.,sentence
A woman in blue shorts and white shirt holds a tennis racket on a blue tennis court.,sentence
A woman in a white top and blue shorts is playing tennis.,sentence
Woman in a white shirt and blue shorts playing tennis.,sentence
A blond woman wearing glasses is playing tennis.,sentence
"Woman wearing a black sunhat, black dress and black Ugg clogs, walking in a city square.",sentence
A young woman dressed in black walking on pavement in front of a lake,sentence
A woman in a black dress walking by the water.,sentence
An oriental girl walking in front of water.,sentence
"An old man with a long white beard, a child in a striped shirt and a chicken are pictured standing outside a tent.",sentence
An old man with a beard and a young boy in a striped sweater peer inside a tent.,sentence
An older man and a young child are looking through the opening of a tent.,sentence
One man and one boy looking into a tent with a blue blanket in it.,sentence
"Four guys including one with a black backpack, one drinking coffee, one in a red shirt and one with a gray shirt are watching Elmo on tv.",sentence
College aged adults watching Elmo on large television.,sentence
Four grown men watching Elmo on a television.,sentence
Young men watching Sesame Street.,sentence
A person in blue jeans and a blue shirt sitting on a rock by a pool of water.,sentence
A girl in blue clothes in sitting on a rock next to a small waterfall.,sentence
A woman is sitting on a rock at the edge of some water.,sentence
A lady sits on a rock in front of small waterfall.,sentence
Older man in blue shirt staring down at a beer can in his hand.,sentence
A man in a v neck black shirt looking at a beer.,sentence
An older gentleman looking down at his beer.,sentence
An old man looks at his beer.,sentence
Para-Olympians representing South Africa in track and field celebrate after a race.,sentence
A group of South African runners pose at the Paralympics.,sentence
This team of South African athletes have disabilities.,sentence
A South African track team poses for a picture.,sentence
"A man in a blue hat and green coat is holding a sign that says slow, with RVs parked in back of him.",sentence
A man yields a slow sign at a docking area.,sentence
The man is holding a SLOW sign.,sentence
A man is holding a slow sign,sentence
Six adults sitting at a picnic table with a woman in a yellow sweater talks to them.,sentence
Seven people are sitting at a picnic table with evergreen trees in the background.,sentence
A group of people are sitting together at a picnic table.,sentence
Young men and women sit at a picnic table in a park.,sentence
An older man in a suit gives a presentation to other businessmen.,sentence
A man in a suit is standing at a podium in front of an audience.,sentence
An older gentleman is holding a conference.,sentence
Some men are attending a meeting.,sentence
Five older gentlemen are shooting pool in a white room.,sentence
5 Elder group of man playing snooker on a pool table.,sentence
Five older men playing pool,sentence
Five old men playing pool,sentence
DHL employees posing for a company photo in front of their business.,sentence
The staff of a DHL pose outside of the building for a group photo.,sentence
A group of DHL employees pose in the parking lot for a photograph.,sentence
A group of employees are posing for a photo outside of a building.,sentence
An African-American man plays the harmonica and electric guitar simultaneously into a microphone outside in front of a parking lot.,sentence
Men and women on bikes stop to look at something.,sentence
People on their motorcycles on a sidewalk.,sentence
A boy in blue jumps his skateboard off some steps while his friends watch.,sentence
A boy in blue jumps on a skateboard while two others watch him,sentence
A group of skaters are at a skate park.,sentence
Three skateboarders are in a park.,sentence
A German shepherd breed dog is jumping through a hoop with onlookers.,sentence
A German Shepherd jumping through a black hoop in front of spectators,sentence
German Shepherd jumping through black hoop while people watch,sentence
A dog jumps through a hoop.,sentence
Person with a red bandanna is skateboarding down a pole with buildings in the background.,sentence
A young man dressed in classic grunge gear grinds a rail on his skateboard.,sentence
A man skateboarding outside balancing his skateboard on a beam.,sentence
Skateboarding grinding in a bootleg skate park.,sentence
Two travelers on a train or bus reading a book together.,sentence
A couple laughs together as they read a book on a train.,sentence
Two girls sitting down and looking at a book.,sentence
"One standing man and one seated man in a concrete block alley on cellphones, both wearing fitted caps and loose-fitting khaki clothing.",sentence
A man on a phone stands before a seated man.,sentence
Two African men mind their own business.,sentence
Two middle eastern men on cellphones.,sentence
"Two men are standing in a room, pointing in opposite directions, while another man is standing in between them looking to his left.",sentence
"Two men trying to give directions and failing completely, confusing their victim in the process.",sentence
"Three men stand in an art gallery, two of them point at objects unseen.",sentence
Two men are pointing at pictures around the head of a third man.,sentence
"Guys wearing yellow, red, and blue are running in the grass.",sentence
Man jumping on another during a game in the grass.,sentence
A man in yellow is leaping toward men in blue.,sentence
A soccer game on a grassy field.,sentence
"Two women, one in a blue uniform, the other in a white one, are competing in a martial arts match as a referee looks on.",sentence
"2 females, 1 from germany and 1 from China, compete in a wrestling match on a mat.",sentence
"Two people, one in blue and the other in white, wrestle while others look on.",sentence
Two women wrestle to the ground while a judge watches.,sentence
A young group of friends adorned with face paint and feathered headbands sit on a bench.,sentence
Five young women sitting on a green bench wearing headbands with feathers in them.,sentence
Five young girls with backpacks sitting on a green park bench.,sentence
Five young girls wearing headbands sitting on park bench,sentence
A man in a black vest and a woman in a white jacket are running in a race.,sentence
A man and a woman wearing numbers are waving in the street.,sentence
Two runners waving as they finish a race.,sentence
Joggers wavy happily during race.,sentence
"A scottish band, whose members are dressed in kilts, marching in front of onlookers, playing bagpipes.",sentence
Men in traditional Scottish attire marching and playing bagpipes.,sentence
A Scottish band marching in a stadium as a crowd looks on.,sentence
Men parading in kilts and playing instruments.,sentence
Motorcycle guy waiting to cross the street.,sentence
A little girl and boy play Frisbee together in a grassy area.,sentence
A little boy and a little girl playing together outside.,sentence
Two children playing in a field.,sentence
A young boy and girl playing.,sentence
The man sitting seems to be reading while waiting for the bus while the people in the background seem to blend in with the landscape.,sentence
Blue race car riding on dirt path with onlookers.,sentence
Two people are sitting on the grass with the water just below them along with a waterfall.,sentence
Couple sitting in park near a small waterfall.,sentence
A couple relaxing on the grass at a weir.,sentence
A couple sitting by a small waterfall.,sentence
People are walking along a street under a large billboard.,sentence
Women wearing sunglasses shopping downtown.,sentence
A crowd of people walking down a sidewalk.,sentence
Several women walking down the street.,sentence
A man wearing a red boxing uniform throws a punch with his right hand as a man wearing blue boxing gloves and headgear blocks the punch.,sentence
A boxer in red with an intricate tattoo gives his opponent a right hook to the head.,sentence
"Two boxers are fighting, one is punching the other.",sentence
Two men are duking it out in a boxing ring.,sentence
People with bags walk along a dirt road in front of a green building.,sentence
African people walk by a teal colored building in the desert.,sentence
"Africans in tribe clothes, walking pass a green.",sentence
Two people walking down a sandy road.,sentence
A woman is directing a group of men and woman during singing class.,sentence
People in a class receiving instructions from a teacher.,sentence
A woman in a black and white dress conducting a choir.,sentence
A choir is practicing in a room with a wood floor.,sentence
"A man in a white shirt is holding a saw, standing next to a tree and a child.",sentence
Child wearing fireman's hat sits on ground next to man holding a handsaw.,sentence
A man and a child in a hard hat are sawing at a tree.,sentence
Man grooms a tree while a child helps him.,sentence
"Two young men, one wearing a black shirt and the other wearing a white shirt, are looking at papers on a table.",sentence
A table at Penn State sponsored by a Greek organization promotes the sale of basketball tickets.,sentence
Two young men are signing up for sign up for a basketball related event.,sentence
Two boys stand at a blue table fill out a form.,sentence
6 men in work jumpsuits and 1 man in an orange jumpsuit are walking next to green and red loading docks.,sentence
Six men in blue jumpsuits and a man in an orange jumpsuit walk by a shipyard.,sentence
A group of men in jumpsuits walk along the dock of the Bumi Jaya.,sentence
6 Men dressed in blue and one man dressed in orange walking.,sentence
"There are five white individuals on a stage in a line, the outer four are looking inward toward the middle individual who has a beard.",sentence
Four men and one women are discussing something together on a stage with microphones.,sentence
A group of people sitting in a semicircle are talking into microphones.,sentence
Five people taking part in a discussion on a stage.,sentence
A man in a black shirt and red and white hat swinging a golf club at a golf ball that is sitting in green grass.,sentence
A man in a black shirt is playing golf outside.,sentence
A man is playing golf by himself.,sentence
There is a man playing golf.,sentence
Woman trying to punch man.,sentence
A woman is holding her child while a man is reading something from a piece of paper and taking something from a bowl that a younger girl is holding in a park with a small lake in the background.,sentence
"Woman wearing brown sandals and blue jeans, in a white shirt, holding a baby under a tall tree.",sentence
A small group of people meeting together at a tree by water.,sentence
Two women and a man are having a discussion at an event.,sentence
An individual sits at their laptop computer in a loft of books.,sentence
A woman sitting at a table looking at a laptop computer.,sentence
A worker is looking at her laptop sitting at her desk.,sentence
A woman in a building on a laptop.,sentence
"Two men in black hoodies, one of which is smoking a cigarette standing next to a fire.",sentence
Two men in black jackets are standing near a fire.,sentence
Two men standing next to a fire at night.,sentence
Two men standing by a fire at night.,sentence
A man sitting on a running horse on a dirt track.,sentence
A person is riding a horse down a dirt trail.,sentence
A jockey training his horse.,sentence
Man swiftly riding a horse.,sentence
"A group of people gathered around two woman, one of the woman is wearing a green dress with yellow shaped on it, the other woman is wearing pink and black shirt.",sentence
A group of Africans are enjoying themselves in group song and dance.,sentence
People clap while two women play a game.,sentence
Women are dancing outside.,sentence
Two soccer players race each other during a match while the crowd excitedly cheers on.,sentence
One blue team and one white team are competing to win a sports game.,sentence
Men scramble in a soccer game.,sentence
Rugby players having fun.,sentence
"Partially obscured by black duffel bags, a young man wearing a black shirt and tan shorts is asleep in the back of a vehicle.",sentence
"A man in shorts, t-shirt and a baseball cap sleeps in the back of a vehicle next to luggage.",sentence
A man sleeps while listening to his iPod in the back of a vehicle.,sentence
A man is sleeping by a bunch of luggage.,sentence
"A man and a woman, both pushing strollers with children in them, are stopped and looking at each other.",sentence
The Man and the Woman are talking with one another each carrying a child on a stroller.,sentence
Two parents walk past each other on the street with their kids in strollers.,sentence
Two people with children exchange words.,sentence
Two women with black hair wearing flower leis standing in a store with a baby in a baby stroller.,sentence
Two women are standing in a store with a baby in a blue stroller.,sentence
Two women and a baby in a stroller in front of a store.,sentence
A picture of some people and a baby in a store.,sentence
Three people on bikes racing through the orange cones.,sentence
Three bicyclists race around a curve.,sentence
Three bicyclists turn on a curve.,sentence
Men race their bikes on a road.,sentence
"A man in a purple shirt is doing a dance move that is very low to the floor, the audience looks on with enjoyment.",sentence
A man in a purple shirt is bending over backwards at the waist while a group of barefoot onlookers clap.,sentence
A young man wearing a purple shirt does the limbo in a gymnasium.,sentence
Onlookers clapping as a man dances on a gymnasium floor.,sentence
"A woman in a black shirt holding a cherry pie on top of her head, the pie is still in the baking dish.",sentence
A woman in a black shirt proudly is holding up a freshly baked pie.,sentence
Woman balances a pie on her head and looks up into camera,sentence
A woman sporting a freshly baked pie on her head.,sentence
The soccer player in the checked shirt is moving the ball pursued by the players on the other team.,sentence
"Two boys soccer teams play, one boy goes after the ball.",sentence
Two teams of boys playing soccer.,sentence
Boys are playing soccer.,sentence
"Three men, two in black business suits and one in a black dress shirt are reviewing notes for a presentation.",sentence
Three men dressed in all black suits are reading from some notes.,sentence
The three men in black are standing in a row.,sentence
3 men wearing black attire are reading.,sentence
"Four women grouped together, three of them looking at the camera and one of them standing, in a backyard.",sentence
Four women sitting on green outdoor furniture on a patio with a small doghouse in the backdrop.,sentence
5 girls sitting around a green patio set outside on the deck.,sentence
Four women are on a porch.,sentence
"Two men in matching formal wear stand next to each other, smiling.",sentence
Two men both with dark hair wearing striped vests.,sentence
Two young men wearing matching clothing smiling.,sentence
Two guys are wearing matching uniforms.,sentence
"On wooden steps leading to a porch, a blond woman in denim shorts sits next to another person whose face is obscured by a baseball cap.",sentence
Two girls in shorts and T-shirts are laughing while sitting on wooden steps.,sentence
Two women in shorts sitting on the steps of an apartment or house.,sentence
"Two girls are sitting on the steps, and one girl is laughing.",sentence
A construction site with 2 guys on ladder and platforms performing ceiling repairs.,sentence
Three construction workers working on the interior of a building.,sentence
Three workers are performing their jobs while on scaffolding.,sentence
Construction workers on lifts working on a building.,sentence
Woman in pink and green tank top listens to a man in green carrying a blue backpack.,sentence
Man walking in front of Queen and Portland Lofts and Condominiums.,sentence
An arrow pointing at a man in a white hat who is walking by.,sentence
A man in a black and white dress is playing guitar.,sentence
A man performing on a guitar.,sentence
"Two men talking, leaning over a fence in front of a body of water.",sentence
Two men speaking while looking over the railings over a river.,sentence
Two men are leaning on the rail near the water.,sentence
Two men leaning on some railing at water side.,sentence
A lady brings a drink to a seated couple comprised of a woman wearing a long white dress and a man in a dark suit.,sentence
The bride and groom are getting served a drink at their wedding reception.,sentence
A newlywed couple speak with guests at their wedding.,sentence
Several people sit at a table in formal clothing.,sentence
Two people dressed in winter apparel venture out onto a frozen body of water.,sentence
Two girls are walking by a tree in front of a brick building.,sentence
Two people in winter coats walking down a road.,sentence
Two people are walking through some water.,sentence
A young group of friends adorned with face paint and feathered headbands sit on a bench.,sentence
Teens dressed as Native Americans sit in the park with their school bags on the ground.,sentence
Five young women sitting on a green bench wearing headbands with feathers in them.,sentence
Five young girls with backpacks sitting on a green park bench.,sentence
A parade of men hold red and yellow flags as they wave them proudly.,sentence
A group of people is parading with red and yellow flags.,sentence
A group of men in white uniforms are waving flags.,sentence
Some expats celebrate and wave red flags.,sentence
A woman wearing a red and black striped dress is standing next to two women on a sidewalk.,sentence
Teenage girls are gathered near a wall in a city.,sentence
Three younger women sit outside and have a chat.,sentence
Young women talking on the street.,sentence
A family is standing in front of a silver car in a metro area.,sentence
A couple with a small child is standing on a busy street.,sentence
Two adults and a child wait to cross a street.,sentence
Musician plays a white electric guitar with a band at an outdoor concert,sentence
Person doing bicycle jump,sentence
Boy in midair on bicycle,sentence
